episode,return,mean_error,tunnel_error,q_scale,r_scale,steps,tunnel_steps,duration_s,lstm_used
89,-872.521,49.7073,49.7073,2.8038,0.1246,316,316,6.27,True
90,-170.417,6.5602,6.5602,2.8617,0.1256,500,500,12.02,True
91,-866.976,49.7504,49.7504,2.8041,0.1289,314,314,7.5,True
92,-270.46,11.3837,11.3837,2.9176,0.1165,500,500,16.56,True
93,-40.025,7.4751,7.4751,2.601,0.1469,51,51,2.33,True
94,-872.566,49.7094,49.7094,2.9086,0.1551,316,316,7.58,True
95,-600.369,38.8587,38.8587,2.9081,0.114,241,241,6.35,True
96,-784.833,32.3413,32.3413,2.9239,0.1264,461,461,12.94,True
97,-872.514,49.706,49.706,2.9539,0.1276,316,316,8.38,True
98,-335.204,47.7811,47.7811,2.957,0.1199,129,129,3.87,True
99,31.027,2.8455,2.8455,2.8883,0.1512,51,51,1.72,True
100,-451.217,17.9006,36.26,2.9425,0.1245,500,230,12.28,True
101,-215.583,7.006,7.006,2.9611,0.1225,500,500,14.6,True
102,-859.629,32.1691,44.9254,2.9439,0.1264,500,345,9.36,True
103,-1152.883,48.4156,48.4156,2.9244,0.1186,423,423,9.36,True
104,-66.637,5.4283,5.4283,2.9269,0.1219,500,500,13.52,True
105,31.165,2.8455,2.8455,2.7443,0.1324,51,51,1.33,True
106,-872.543,49.7114,49.7114,2.93,0.1281,316,316,6.81,True
107,-1118.151,23.8782,23.8782,2.9463,0.1214,500,500,11.55,True
108,-512.73,31.1516,31.1516,2.862,0.1175,196,196,5.41,True
109,-839.755,46.3551,46.3551,2.8928,0.1185,305,305,8.43,True
110,-872.542,49.7072,49.7072,2.936,0.1356,316,316,8.66,True
111,-462.494,17.9384,36.1442,2.9234,0.1319,500,230,11.15,True
112,-872.632,49.7094,49.7094,2.936,0.1278,316,316,7.94,True
113,-872.437,49.7077,49.7077,2.9328,0.1234,316,316,8.82,True
114,198.035,3.192,3.7213,2.9276,0.1318,488,303,12.17,True
115,-432.825,17.7997,36.5118,2.915,0.1175,500,230,10.15,True
116,-548.741,18.0955,18.0955,2.9352,0.1321,500,500,11.62,True
117,-469.943,18.0677,36.2586,2.9211,0.1183,500,230,10.35,True
118,-208.803,6.9774,6.9774,2.9584,0.127,500,500,10.8,True
119,-471.338,18.2541,36.35,2.9491,0.1289,500,230,7.34,True
120,-553.045,23.3126,36.206,2.9347,0.1243,380,230,6.9,True
121,-594.655,29.0017,29.0017,2.9631,0.1411,441,441,10.21,True
122,-301.079,13.5177,31.6629,2.9379,0.1303,500,198,8.07,True
